pk,id,name,level,status,macroareas
1,kond1302,Konda-Yahadian,family,Unknown,Papunesia
2,cani1243,Canichana,language,extinct,South America
3,mong1349,Mongolic-Khitan,family,Unknown,Eurasia
4,cadd1255,Caddoan,family,Unknown,North America
5,yuki1242,Yuki-Wappo,family,Unknown,North America
6,grea1241,Great Andamanese,family,Unknown,Eurasia
6,grea1241,Great Andamanese,family,Unknown,Papunesia
7,gong1255,Ta-Ne-Omotic,family,Unknown,Africa
8,monu1249,Bogia,family,Unknown,Papunesia
9,lowe1437,Lower Sepik-Ramu,family,Unknown,Papunesia
10,kala1402,Kalapuyan,family,Unknown,North America
11,teme1251,Temeinic,family,Unknown,Africa
12,morb1239,Mor (Bomberai Peninsula),language,moribund,Papunesia
13,kwal1257,Kwalean,family,Unknown,Papunesia
14,rama1271,Ramanos,language,extinct,South America
15,maya1287,Mayan,family,Unknown,North America
16,guai1249,Guaicuruan,family,Unknown,South America
17,kimk1238,Kimki,language,shifting,Papunesia
18,odia1239,Odiai,language,shifting,Papunesia
19,jarr1235,Jarrakan,family,Unknown,Australia
20,yano1268,Yanomamic,family,Unknown,South America
21,yale1246,Yale,language,shifting,Papunesia
22,nort2923,North Halmahera,family,Unknown,Papunesia
23,song1307,Songhay,family,Unknown,Africa
24,utoa1244,Uto-Aztecan,family,Unknown,North America
25,moro1289,Marori,language,shifting,Papunesia
26,zamu1243,Zamucoan,family,Unknown,South America
27,kehu1238,Kehu,language,moribund,Papunesia
28,giim1238,Giimbiyu,family,Unknown,Australia
29,maid1262,Maiduan,family,Unknown,North America
30,bang1363,Bangime,language,shifting,Africa
31,mola1238,Molale,language,extinct,North America
32,iroq1247,Iroquoian,family,Unknown,North America
33,toro1256,Tor-Orya,family,Unknown,Papunesia
34,hurr1239,Hurro-Urartian,family,Unknown,Eurasia
35,sout1293,South-Eastern Tasmanian,family,Unknown,Australia
36,abun1252,Abun,language,shifting,Papunesia
37,nakh1245,Nakh-Daghestanian,family,Unknown,Eurasia
38,kaku1242,Kakua-Nukak,family,Unknown,South America
39,tiwi1244,Tiwi,language,shifting,Australia
40,hmon1336,Hmong-Mien,family,Unknown,Eurasia
41,jara1244,Jarawa-Onge,family,Unknown,Eurasia
42,tonk1249,Tonkawa,language,extinct,North America
43,amto1249,Amto-Musan,family,Unknown,Papunesia
44,waor1240,Waorani,language,shifting,South America
45,kart1248,Kartvelian,family,Unknown,Eurasia
46,sent1261,Sentanic,family,Unknown,Papunesia
47,wage1238,Wageman,language,moribund,Australia
48,chap1271,Chapacuran,family,Unknown,South America
49,iber1250,Iberian,language,extinct,Eurasia
50,saha1239,Sahaptian,family,Unknown,North America
51,wadj1254,Wadjiginy,language,moribund,Australia
52,muni1258,Muniche,language,extinct,South America
53,shas1238,Shastan,family,Unknown,North America
54,otom1299,Otomanguean,family,Unknown,North America
55,chim1311,Chimakuan,family,Unknown,North America
56,kena1236,Kenaboi,language,extinct,Eurasia
57,chim1301,Chimariko,language,extinct,North America
58,gumu1250,Gumuz,family,Unknown,Africa
59,tall1235,Tallán,language,extinct,South America
60,come1251,Comecrudan,language,extinct,North America
61,lenc1239,Lencan,family,Unknown,North America
62,coos1248,Coosan,family,Unknown,North America
63,nyul1248,Nyulnyulan,family,Unknown,Australia
64,yetf1238,Yetfa,language,shifting,Papunesia
65,turk1311,Turkic,family,Unknown,Eurasia
66,namb1299,Nambiquaran,family,Unknown,South America
67,puri1261,Puri-Coroado,family,Unknown,South America
68,aust1305,Austroasiatic,family,Unknown,Eurasia
68,aust1305,Austroasiatic,family,Unknown,Papunesia
69,atla1278,Atlantic-Congo,family,Unknown,Africa
69,atla1278,Atlantic-Congo,family,Unknown,North America
70,lepk1239,Lepki-Murkim-Kembra,family,Unknown,Papunesia
71,inan1242,Inanwatan,family,Unknown,Papunesia
72,mpur1239,Mpur,language,shifting,Papunesia
73,eski1264,Eskimo-Aleut,family,Unknown,Eurasia
73,eski1264,Eskimo-Aleut,family,Unknown,North America
74,chum1262,Chumashan,family,Unknown,North America
75,boro1281,Bororoan,family,Unknown,South America
76,hata1242,Hatam-Mansim,family,Unknown,Papunesia
77,kwom1263,Kwomtari-Nai,family,Unknown,Papunesia
78,beot1247,Beothuk,language,extinct,North America
79,tuuu1241,Tuu,family,Unknown,Africa
80,iton1250,Itonama,language,nearly extinct,South America
81,pyuu1245,Pyu,language,shifting,Papunesia
82,pume1238,Pumé,language,shifting,South America
83,puel1244,Puelche,language,extinct,South America
84,zapa1251,Zaparoan,family,Unknown,South America
85,sout2845,South Omotic,family,Unknown,Africa
86,mink1237,Minkin,language,extinct,Australia
87,tebe1251,Teberan,family,Unknown,Papunesia
88,jica1245,Jicaquean,family,Unknown,North America
89,seri1257,Seri,language,shifting,North America
90,pauw1244,Pauwasi,family,Unknown,Papunesia
91,bosa1245,Bosavi,family,Unknown,Papunesia
92,sand1273,Sandawe,language,threatened,Africa
93,tuxa1239,Tuxá,language,extinct,South America
94,moch1259,Mochica,language,extinct,South America
95,ainu1252,Ainu,family,Unknown,Eurasia
96,katu1274,Katukinan,family,Unknown,South America
97,chib1249,Chibchan,family,Unknown,North America
97,chib1249,Chibchan,family,Unknown,South America
98,chon1288,Chonan,family,Unknown,South America
99,kadu1256,Kadugli-Krongo,family,Unknown,Africa
100,gaga1251,Gaagudju,language,extinct,Australia
101,pele1245,Pele-Ata,language,shifting,Papunesia
102,tama1329,Tamaic,family,Unknown,Africa
103,otom1276,Otomaco-Taparita,family,extinct,South America
104,urar1246,Urarina,language,shifting,South America
105,take1257,Takelma,language,extinct,North America
106,choc1280,Chocoan,family,Unknown,South America
107,hrus1242,Hruso,language,shifting,Eurasia
108,etru1241,Etruscan,language,extinct,Eurasia
109,left1242,Left May,family,Unknown,Papunesia
110,niha1238,Nihali,language,shifting,Eurasia
111,iran1263,Irántxe-Münkü,language,moribund,South America
112,west2604,West Bomberai,family,Unknown,Papunesia
113,umbu1235,Umbugarla,language,extinct,Australia
114,boga1247,Bogaya,language,shifting,Papunesia
115,taik1256,Tai-Kadai,family,Unknown,Eurasia
116,huav1256,Huavean,family,Unknown,North America
117,east2386,Eastern Jebel,family,Unknown,Africa
118,yeni1252,Yeniseian,family,Unknown,Eurasia
119,kaya1327,Kayagaric,family,Unknown,Papunesia
120,west1503,Western Tasmanian,family,Unknown,Australia
121,yana1271,Yana,language,extinct,North America
122,usku1243,Usku,language,shifting,Papunesia
123,karo1304,Karok,language,nearly extinct,North America
124,kano1245,Kanoê,language,nearly extinct,South America
125,taru1236,Taruma,language,nearly extinct,South America
126,pawa1255,Pawaia,language,shifting,Papunesia
127,movi1243,Movima,language,shifting,South America
128,kiwa1251,Kiwaian,family,Unknown,Papunesia
129,kaur1274,Kaure-Kosare,family,Unknown,Papunesia
130,unat1236,Unattested,family,Unknown,Africa
130,unat1236,Unattested,family,Unknown,Australia
130,unat1236,Unattested,family,Unknown,Eurasia
130,unat1236,Unattested,family,Unknown,North America
130,unat1236,Unattested,family,Unknown,Papunesia
130,unat1236,Unattested,family,Unknown,South America
131,kres1240,Kresh-Aja,family,Unknown,Africa
132,paho1240,Pahoturi,family,Unknown,Papunesia
133,omur1241,Omurano,language,extinct,South America
134,bira1253,Ongota,language,nearly extinct,Africa
135,kwaz1243,Kwaza,language,moribund,South America
136,kuja1239,Kujarge,language,shifting,Africa
137,chuk1271,Chukotko-Kamchatkan,family,Unknown,Eurasia
138,katl1246,Katla-Tima,family,Unknown,Africa
139,yera1243,Yerakai,language,shifting,Papunesia
140,molo1262,Molof,language,shifting,Papunesia
141,yoku1255,Yokutsan,family,Unknown,North America
142,maoo1243,Blue Nile Mao,family,Unknown,Africa
143,nara1262,Nara,language,not endangered,Africa
144,kere1287,Keresan,family,Unknown,North America
145,coch1271,Cochimi-Yuman,family,Unknown,North America
146,nucl1709,Nuclear Trans New Guinea,family,Unknown,Papunesia
147,yama1264,Yámana,language,nearly extinct,South America
148,arti1236,Artificial Language,family,Unknown,Africa
148,arti1236,Artificial Language,family,Unknown,Eurasia
148,arti1236,Artificial Language,family,Unknown,North America
148,arti1236,Artificial Language,family,Unknown,Papunesia
149,geel1240,Geelvink Bay,family,Unknown,Papunesia
150,pank1250,Pankararú,language,extinct,South America
151,sign1238,Sign Language,family,Unknown,Africa
151,sign1238,Sign Language,family,Unknown,Australia
151,sign1238,Sign Language,family,Unknown,Eurasia
151,sign1238,Sign Language,family,Unknown,North America
151,sign1238,Sign Language,family,Unknown,Papunesia
151,sign1238,Sign Language,family,Unknown,South America
152,yawa1259,Yawa-Saweru,family,Unknown,Papunesia
153,cayu1241,Cayuse,language,extinct,North America
154,yura1255,Yuracaré,language,shifting,South America
155,lafo1243,Lafofa,language,shifting,Africa
156,nivk1234,Nivkh,family,Unknown,Eurasia
157,nada1235,Naduhup,family,Unknown,South America
158,burm1264,Burmeso,language,shifting,Papunesia
159,tang1340,Tangkic,family,Unknown,Australia
160,natc1249,Natchez,language,extinct,North America
161,kera1258,Keram,family,Unknown,Papunesia
162,atac1235,Atacame,language,extinct,South America
163,jira1235,Jirajaran,language,extinct,South America
164,kore1284,Koreanic,family,Unknown,Eurasia
165,hadz1240,Hadza,language,shifting,Africa
166,suar1238,Asabano,language,shifting,Papunesia
167,lavu1241,Lavukaleve,language,shifting,Papunesia
168,alse1251,Alsea-Yaquina,language,extinct,North America
169,surm1244,Surmic,family,Unknown,Africa
170,bain1263,Baining,family,Unknown,Papunesia
171,chit1248,Chitimacha,language,extinct,North America
172,gunw1250,Gunwinyguan,family,Unknown,Australia
173,puqu1242,Puquina,language,extinct,South America
174,else1239,Elseng,language,shifting,Papunesia
175,daga1274,Dagan,family,Unknown,Papunesia
176,ando1256,Andoque,language,shifting,South America
177,suki1244,Suki-Gogodala,family,Unknown,Papunesia
178,siou1252,Siouan,family,Unknown,North America
179,lule1238,Lule,language,extinct,South America
180,chiq1253,Chiquitano,family,Unknown,South America
181,indo1319,Indo-European,family,Unknown,Africa
181,indo1319,Indo-European,family,Unknown,Australia
181,indo1319,Indo-European,family,Unknown,Eurasia
181,indo1319,Indo-European,family,Unknown,North America
181,indo1319,Indo-European,family,Unknown,Papunesia
181,indo1319,Indo-European,family,Unknown,South America
182,dogo1299,Dogon,family,Unknown,Africa
183,leco1242,Leco,language,extinct,South America
184,kuot1243,Kuot,language,shifting,Papunesia
185,worr1236,Worrorran,family,Unknown,Australia
186,doso1238,Doso-Turumsa,family,Unknown,Papunesia
187,koia1260,Koiarian,family,Unknown,Papunesia
188,afro1255,Afro-Asiatic,family,Unknown,Africa
188,afro1255,Afro-Asiatic,family,Unknown,Eurasia
189,mair1253,Mairasic,family,Unknown,Papunesia
190,west1493,West Bird's Head,family,Unknown,Papunesia
191,maba1274,Maban,family,Unknown,Africa
192,cams1241,Camsá,language,shifting,South America
193,mawe1251,Mawes,language,shifting,Papunesia
194,huit1251,Huitotoan,family,Unknown,South America
195,elam1244,Elamite,language,extinct,Eurasia
196,bord1247,Border,family,Unknown,Papunesia
197,coah1252,Coahuilteco,language,extinct,North America
198,skoo1245,Sko,family,Unknown,Papunesia
199,ticu1244,Ticuna-Yuri,family,Unknown,South America
200,manu1261,Manubaran,family,Unknown,Papunesia
201,guac1239,Guachi,language,extinct,South America
