pk,id,name,latitude,longitude,speakers_count,father_pk,family_pk,level,child_family_count,child_language_count,child_dialect_count,macroareas,status
1,kond1302,Konda-Yahadian,,,,,,family,0,2,0,Papunesia,
2,cani1243,Canichana,-14.3058,-64.944455,,,,language,0,0,0,South America,extinct
3,mong1349,Mongolic-Khitan,,,,,,family,8,16,66,Eurasia,
4,cadd1255,Caddoan,,,,,,family,3,5,4,North America,
5,yuki1242,Yuki-Wappo,,,,,,family,0,2,3,North America,
6,grea1241,Great Andamanese,,,,,,family,7,10,1,"Eurasia, Papunesia",
7,gong1255,Ta-Ne-Omotic,,,,,,family,7,19,17,Africa,
8,monu1249,Bogia,,,,,,family,0,2,0,Papunesia,
9,lowe1437,Lower Sepik-Ramu,,,,,,family,18,30,10,Papunesia,
10,kala1402,Kalapuyan,,,,,,family,0,3,0,North America,
11,teme1251,Temeinic,,,,,,family,0,2,0,Africa,
12,morb1239,Mor (Bomberai Peninsula),-2.85747,132.845,70.0,,,language,0,0,0,Papunesia,moribund
13,kwal1257,Kwalean,,,,,,family,1,3,6,Papunesia,
14,rama1271,Ramanos,-14.301948199999998,-67.3590894,,,,language,0,0,0,South America,extinct
15,maya1287,Mayan,,,,,,family,24,33,9,North America,
16,guai1249,Guaicuruan,,,,,,family,3,5,4,South America,
17,kimk1238,Kimki,-4.2742,140.884,500.0,,,language,0,0,0,Papunesia,shifting
18,odia1239,Odiai,-3.8227599999999997,141.336,240.0,,,language,0,0,0,Papunesia,shifting
19,jarr1235,Jarrakan,,,,,,family,0,3,0,Australia,
20,yano1268,Yanomamic,,,,,,family,4,6,16,South America,
21,yale1246,Yale,-3.7976199999999998,141.566,600.0,,,language,0,0,0,Papunesia,shifting
22,nort2923,North Halmahera,,,,,,family,10,15,19,Papunesia,
23,song1307,Songhay,,,,,,family,4,10,9,Africa,
24,utoa1244,Uto-Aztecan,,,,,,family,36,69,42,North America,
25,moro1289,Marori,-8.5692,140.688,50.0,,,language,0,0,0,Papunesia,shifting
26,zamu1243,Zamucoan,,,,,,family,1,3,3,South America,
27,kehu1238,Kehu,-3.19328,136.14,200.0,,,language,0,0,0,Papunesia,moribund
28,giim1238,Giimbiyu,,,,,,family,1,3,0,Australia,
29,maid1262,Maiduan,,,,,,family,0,4,0,North America,
30,bang1363,Bangime,14.8116,-3.77092,3500.0,,,language,0,0,0,Africa,shifting
31,mola1238,Molale,44.556000000000004,-122.85700000000001,,,,language,0,0,0,North America,extinct
32,iroq1247,Iroquoian,,,,,,family,3,11,12,North America,
33,toro1256,Tor-Orya,,,,,,family,3,13,5,Papunesia,
34,hurr1239,Hurro-Urartian,,,,,,family,0,2,0,Eurasia,
35,sout1293,South-Eastern Tasmanian,,,,,,family,0,2,0,Australia,
36,abun1252,Abun,-0.5707300000000001,132.416,3000.0,,,language,0,0,3,Papunesia,shifting
37,nakh1245,Nakh-Daghestanian,,,,,,family,20,34,106,Eurasia,
38,kaku1242,Kakua-Nukak,,,700.0,,,family,0,2,2,South America,
39,tiwi1244,Tiwi,-11.6308,130.94899999999998,2040.0,,,language,0,0,0,Australia,shifting
40,hmon1336,Hmong-Mien,,,,,,family,19,39,26,Eurasia,
41,jara1244,Jarawa-Onge,,,,,,family,0,2,0,Eurasia,
42,tonk1249,Tonkawa,30.25,-96.75,,,,language,0,0,0,North America,extinct
43,amto1249,Amto-Musan,,,,,,family,0,2,0,Papunesia,
44,waor1240,Waorani,-1.1231200000000001,-76.683,2000.0,,,language,0,0,0,South America,shifting
45,kart1248,Kartvelian,,,,,,family,3,6,26,Eurasia,
46,sent1261,Sentanic,,,,,,family,2,4,6,Papunesia,
47,wage1238,Wageman,-13.8627,131.893,11.0,,,language,0,0,0,Australia,moribund
